,text,prediction
0,nasa releases video of perseverance rover landing on mars,4.0
1,perseverance rover has already found signs of more intelligent life on mars than a flat earth conference,4.0
2,what a great cgi,4.0
3,buscando vida en marte y aqu la gente se mueve de hambre,4.0
4,congratulations to nasa,4.0
5,i was the cameraman hope you enjoy the footage i also do weddings if youre interested,4.0
6,these wrinkles are fascinating,4.0
7,awesome,4.0
8,this is great accomplishment congrats to nasa and their engineers,4.0
9,anyone want to start the rumour that its been faked that would be crazy talk,4.0
10,your complaint is our main concern making us render the best of services to our clients we are reliable and very trusted for a perfect job donecontact the designated mail provided,4.0
11,martian ants ayooo watch yo rockets,4.0
12,we always talk about ufos and stuff but actually we are now aliens and the rover is a ufo for the things on mars im not saying there are aliens,4.0
13,absolutely mind blowing and what a privilege it is to be alive right now,4.0
14,congratulations bravo nasa,4.0
15,oh my,4.0
16,do the rovers ever meet up how big is mars,4.0
17,michael bay would be proud of the hollywood production values here,4.0
18,you are fn kidding me welcome to the futur,4.0
19,mars has better internet speed than rural areas on earth,4.0
20,goosebumps watching this landing,4.0
21,anybody seen the george bush senior video where he is wheeled into mission control and tim peake is on a monitor in the background in front of a blue squared cgi screen all a rich mans trick,4.0
22,ausgezeichnet,4.0
23,regardless of the reality of the videowe may not need to dream of discovering another habitable planet as all we need is to preserve this true habitable planet so progress in life is not a process of acquiring new things but a process of abandoning old mistakes,4.0
24,the universe is far more complex than any mind can comprehend even though this is a huge step in science its the equivalent of a baby learning to lift its head for the first time,4.0
25,this feat and footage is so so unbelievably incredible however how much more awesome would it have been if we saw additionsl footage from other pods that landed and tumbled like curiositys landing to then track the rover landing im still so exited and thrilled with perseverance landing but man that would have been incredible how incredible as well would that have been to see that in person a dark knight rises looking craft with rockets comes over head blasting away and then lowers a ton civic sized rover from tethers above who are the aliens now our technology is catching up to scifi with this and space x with their dragon capsule styling and falcon boosters landing themselves in sync what a wonderful time to be alive,4.0
26,i made in my yt channel a video of the rovers landing with no time for caution i would be glad if you watch it thanks,4.0
27,ack ack ack dont run we are your friends,4.0
28,so by this mission we will get some dust from mars in,4.0
29,save spirit rover,4.0
30,ok then planting somes seeds im m waiting to see that planting,4.0
31,after the fall of earth when we are at the mars from the mars the look likes some strarranging places,4.0
32,amazing amazing,4.0
33,their first look at the surface,4.0
34,wow amaizng great,4.0
35,truly incredible,4.0
36,they better meet up with spirit,4.0
37,i thought that was gme going to mars,4.0
38,half life,4.0
39,im sorrybut if the lord wanted man to go into space and love on another planet he would have made it so much easier rather than humans trying their best through their own achievements as far as i knowthere will be a day all will end before we ever live on another planet,4.0
40,im curious will it find the opportunity rover,4.0
41,as somebody born long after the moon landing these are pictures i will never forget,4.0
42,wow video of the landing this is incredible,4.0
43,cant wait to export our bs to another planet the sooner we exploit mars the better,4.0
